pair_id,sequence_length_a,sequence_length_b,max_local_alignment_score
0,16,16,13
1,16,16,11
2,16,16,9
3,16,16,8
4,16,16,10
5,16,16,12
6,16,16,6
7,16,16,6
8,16,16,14
9,16,16,7
10,16,16,6
11,16,16,8
12,16,16,7
13,16,16,8
14,16,16,7
15,16,16,10
16,16,16,6
17,16,16,7
18,16,16,14
19,16,16,14
20,16,16,8
21,16,16,10
22,16,16,13
23,16,16,10
24,16,16,6
25,16,16,8
26,16,16,10
27,16,16,7
28,16,16,7
29,16,16,9
30,16,16,12
31,16,16,10
32,16,16,14
33,16,16,9
34,16,16,12
35,16,16,12
36,16,16,7
37,16,16,10
38,16,16,10
39,16,16,10
40,16,16,11
41,16,16,9
42,16,16,8
43,16,16,14
44,16,16,9
45,16,16,9
46,16,16,7
47,16,16,12
48,16,16,10
49,16,16,10
50,16,16,8
51,16,16,13
52,16,16,13
53,16,16,8
54,16,16,6
55,16,16,7
56,16,16,15
57,16,16,13
58,16,16,10
59,16,16,10
60,16,16,12
61,16,16,9
62,16,16,9
63,16,16,13
64,16,16,8
65,16,16,10
66,16,16,6
67,16,16,8
68,16,16,10
69,16,16,8
70,16,16,13
71,16,16,9
72,16,16,14
73,16,16,6
74,16,16,9
75,16,16,8
76,16,16,9
77,16,16,5
78,16,16,11
79,16,16,10
80,16,16,13
81,16,16,11
82,16,16,6
83,16,16,14
84,16,16,9
85,16,16,13
86,16,16,6
87,16,16,9
88,16,16,10
89,16,16,9
90,16,16,9
91,16,16,8
92,16,16,11
93,16,16,8
94,16,16,11
95,16,16,7
96,16,16,8
97,16,16,9
98,16,16,8
99,16,16,8
