pair_id,sequence_length_a,sequence_length_b,max_local_alignment_score
0,16,16,13
1,16,16,11
2,16,16,9
3,16,16,8
4,16,16,10
5,16,16,12
6,16,16,6
7,16,16,6
8,16,16,14
9,16,16,7
10,16,16,6
11,16,16,8
12,16,16,7
13,16,16,8
14,16,16,7
15,16,16,10
16,16,16,6
17,16,16,7
18,16,16,14
19,16,16,14
20,16,16,8
21,16,16,10
22,16,16,13
23,16,16,10
24,16,16,6
25,16,16,8
26,16,16,10
27,16,16,7
28,16,16,7
29,16,16,9
30,16,16,12
31,16,16,10
32,16,16,14
33,16,16,9
34,16,16,12
35,16,16,12
36,16,16,7
37,16,16,10
38,16,16,10
39,16,16,10
40,16,16,11
41,16,16,9
42,16,16,8
43,16,16,14
44,16,16,9
45,16,16,9
46,16,16,7
47,16,16,12
48,16,16,10
49,16,16,10
50,16,16,8
51,16,16,13
52,16,16,13
53,16,16,8
54,16,16,6
55,16,16,7
56,16,16,15
57,16,16,13
58,16,16,10
59,16,16,10
60,16,16,12
61,16,16,9
62,16,16,9
63,16,16,13
64,16,16,8
65,16,16,10
66,16,16,6
67,16,16,8
68,16,16,10
69,16,16,8
70,16,16,13
71,16,16,9
72,16,16,14
73,16,16,6
74,16,16,9
75,16,16,8
76,16,16,9
77,16,16,5
78,16,16,11
79,16,16,10
80,16,16,13
81,16,16,11
82,16,16,6
83,16,16,14
84,16,16,9
85,16,16,13
86,16,16,6
87,16,16,9
88,16,16,10
89,16,16,9
90,16,16,9
91,16,16,8
92,16,16,11
93,16,16,8
94,16,16,11
95,16,16,7
96,16,16,8
97,16,16,9
98,16,16,8
99,16,16,8
100,16,16,9
101,16,16,9
102,16,16,7
103,16,16,8
104,16,16,9
105,16,16,8
106,16,16,8
107,16,16,11
108,16,16,8
109,16,16,7
110,16,16,7
111,16,16,7
112,16,16,10
113,16,16,10
114,16,16,10
115,16,16,7
116,16,16,14
117,16,16,13
118,16,16,12
119,16,16,9
120,16,16,6
121,16,16,12
122,16,16,11
123,16,16,10
124,16,16,10
125,16,16,12
126,16,16,8
127,16,16,8
128,16,16,8
129,16,16,7
130,16,16,12
131,16,16,10
132,16,16,9
133,16,16,11
134,16,16,10
135,16,16,8
136,16,16,11
137,16,16,11
138,16,16,6
139,16,16,11
140,16,16,11
141,16,16,8
142,16,16,13
143,16,16,9
144,16,16,14
145,16,16,13
146,16,16,11
147,16,16,10
148,16,16,9
149,16,16,11
150,16,16,9
151,16,16,8
152,16,16,5
153,16,16,11
154,16,16,10
155,16,16,6
156,16,16,13
157,16,16,7
158,16,16,15
159,16,16,11
160,16,16,10
161,16,16,11
162,16,16,4
163,16,16,10
164,16,16,8
165,16,16,10
166,16,16,10
167,16,16,8
168,16,16,13
169,16,16,10
170,16,16,9
171,16,16,8
172,16,16,8
173,16,16,7
174,16,16,14
175,16,16,9
176,16,16,10
177,16,16,8
178,16,16,12
179,16,16,8
180,16,16,8
181,16,16,13
182,16,16,10
183,16,16,9
184,16,16,12
185,16,16,11
186,16,16,14
187,16,16,10
188,16,16,8
189,16,16,9
190,16,16,10
191,16,16,8
192,16,16,11
193,16,16,10
194,16,16,9
195,16,16,10
196,16,16,11
197,16,16,7
198,16,16,8
199,16,16,11
200,16,16,8
201,16,16,10
202,16,16,10
203,16,16,13
204,16,16,5
205,16,16,13
206,16,16,11
207,16,16,10
208,16,16,9
209,16,16,10
210,16,16,9
211,16,16,11
212,16,16,9
213,16,16,9
214,16,16,7
215,16,16,8
216,16,16,9
217,16,16,11
218,16,16,7
219,16,16,11
220,16,16,8
221,16,16,7
222,16,16,8
223,16,16,13
224,16,16,9
225,16,16,8
226,16,16,12
227,16,16,13
228,16,16,8
229,16,16,11
230,16,16,8
231,16,16,13
232,16,16,9
233,16,16,10
234,16,16,7
235,16,16,8
236,16,16,9
237,16,16,11
238,16,16,8
239,16,16,8
240,16,16,12
241,16,16,16
242,16,16,9
243,16,16,12
244,16,16,15
245,16,16,7
246,16,16,10
247,16,16,10
248,16,16,10
249,16,16,5
250,16,16,9
251,16,16,6
252,16,16,9
253,16,16,6
254,16,16,11
255,16,16,8
256,16,16,8
257,16,16,8
258,16,16,9
259,16,16,9
260,16,16,9
261,16,16,6
262,16,16,7
263,16,16,12
264,16,16,9
265,16,16,8
266,16,16,14
267,16,16,9
268,16,16,6
269,16,16,7
270,16,16,14
271,16,16,8
272,16,16,6
273,16,16,18
274,16,16,8
275,16,16,13
276,16,16,8
277,16,16,9
278,16,16,11
279,16,16,12
280,16,16,6
281,16,16,10
282,16,16,10
283,16,16,11
284,16,16,21
285,16,16,9
286,16,16,9
287,16,16,10
288,16,16,8
289,16,16,11
290,16,16,9
291,16,16,9
292,16,16,7
293,16,16,10
294,16,16,9
295,16,16,6
296,16,16,7
297,16,16,12
298,16,16,9
299,16,16,9
300,16,16,12
301,16,16,7
302,16,16,7
303,16,16,8
304,16,16,10
305,16,16,10
306,16,16,11
307,16,16,5
308,16,16,7
309,16,16,7
310,16,16,8
311,16,16,5
312,16,16,14
313,16,16,10
314,16,16,8
315,16,16,9
316,16,16,11
317,16,16,7
318,16,16,6
319,16,16,8
320,16,16,8
321,16,16,9
322,16,16,6
323,16,16,11
324,16,16,6
325,16,16,6
326,16,16,12
327,16,16,8
328,16,16,8
329,16,16,11
330,16,16,7
331,16,16,8
332,16,16,6
333,16,16,12
334,16,16,7
335,16,16,7
336,16,16,8
337,16,16,9
338,16,16,10
339,16,16,8
340,16,16,12
341,16,16,10
342,16,16,7
343,16,16,6
344,16,16,8
345,16,16,11
346,16,16,11
347,16,16,9
348,16,16,11
349,16,16,7
350,16,16,9
351,16,16,10
352,16,16,10
353,16,16,6
354,16,16,7
355,16,16,10
356,16,16,7
357,16,16,12
358,16,16,6
359,16,16,6
360,16,16,9
361,16,16,10
362,16,16,15
363,16,16,8
364,16,16,10
365,16,16,6
366,16,16,6
367,16,16,10
368,16,16,11
369,16,16,9
370,16,16,7
371,16,16,8
372,16,16,7
373,16,16,10
374,16,16,8
375,16,16,8
376,16,16,9
377,16,16,7
378,16,16,8
379,16,16,10
380,16,16,10
381,16,16,5
382,16,16,8
383,16,16,12
384,16,16,9
385,16,16,14
386,16,16,11
387,16,16,5
388,16,16,11
389,16,16,10
390,16,16,13
391,16,16,11
392,16,16,8
393,16,16,7
394,16,16,14
395,16,16,9
396,16,16,6
397,16,16,8
398,16,16,8
399,16,16,9
400,16,16,8
401,16,16,9
402,16,16,6
403,16,16,11
404,16,16,16
405,16,16,8
406,16,16,10
407,16,16,7
408,16,16,12
409,16,16,10
410,16,16,8
411,16,16,11
412,16,16,8
413,16,16,7
414,16,16,11
415,16,16,15
416,16,16,12
417,16,16,7
418,16,16,7
419,16,16,9
420,16,16,7
421,16,16,12
422,16,16,12
423,16,16,12
424,16,16,11
425,16,16,13
426,16,16,10
427,16,16,15
428,16,16,14
429,16,16,14
430,16,16,9
431,16,16,8
432,16,16,10
433,16,16,10
434,16,16,15
435,16,16,10
436,16,16,9
437,16,16,8
438,16,16,9
439,16,16,10
440,16,16,8
441,16,16,11
442,16,16,8
443,16,16,8
444,16,16,9
445,16,16,10
446,16,16,10
447,16,16,9
448,16,16,12
449,16,16,9
450,16,16,8
451,16,16,9
452,16,16,7
453,16,16,10
454,16,16,9
455,16,16,11
456,16,16,9
457,16,16,5
458,16,16,10
459,16,16,17
460,16,16,10
461,16,16,11
462,16,16,8
463,16,16,9
464,16,16,7
465,16,16,6
466,16,16,10
467,16,16,12
468,16,16,7
469,16,16,8
470,16,16,12
471,16,16,6
472,16,16,11
473,16,16,7
474,16,16,11
475,16,16,7
476,16,16,10
477,16,16,11
478,16,16,7
479,16,16,8
480,16,16,9
481,16,16,6
482,16,16,8
483,16,16,10
484,16,16,9
485,16,16,10
486,16,16,9
487,16,16,10
488,16,16,12
489,16,16,18
490,16,16,11
491,16,16,10
492,16,16,15
493,16,16,9
494,16,16,9
495,16,16,14
496,16,16,8
497,16,16,10
498,16,16,12
499,16,16,10
500,16,16,11
501,16,16,8
502,16,16,14
503,16,16,11
504,16,16,7
505,16,16,9
506,16,16,7
507,16,16,11
508,16,16,8
509,16,16,13
510,16,16,15
511,16,16,11
512,16,16,8
513,16,16,12
514,16,16,6
515,16,16,12
516,16,16,6
517,16,16,6
518,16,16,7
519,16,16,8
520,16,16,9
521,16,16,12
522,16,16,11
523,16,16,8
524,16,16,13
525,16,16,11
526,16,16,7
527,16,16,10
528,16,16,9
529,16,16,9
530,16,16,9
531,16,16,12
532,16,16,6
533,16,16,8
534,16,16,10
535,16,16,11
536,16,16,11
537,16,16,7
538,16,16,17
539,16,16,17
540,16,16,10
541,16,16,10
542,16,16,12
543,16,16,12
544,16,16,11
545,16,16,9
546,16,16,11
547,16,16,9
548,16,16,11
549,16,16,11
550,16,16,8
551,16,16,11
552,16,16,12
553,16,16,10
554,16,16,7
555,16,16,9
556,16,16,11
557,16,16,9
558,16,16,11
559,16,16,10
560,16,16,7
561,16,16,9
562,16,16,12
563,16,16,10
564,16,16,14
565,16,16,8
566,16,16,6
567,16,16,12
568,16,16,12
569,16,16,9
570,16,16,7
571,16,16,9
572,16,16,6
573,16,16,10
574,16,16,7
575,16,16,8
576,16,16,12
577,16,16,8
578,16,16,12
579,16,16,8
580,16,16,12
581,16,16,7
582,16,16,6
583,16,16,9
584,16,16,8
585,16,16,5
586,16,16,10
587,16,16,6
588,16,16,8
589,16,16,8
590,16,16,7
591,16,16,7
592,16,16,10
593,16,16,6
594,16,16,10
595,16,16,10
596,16,16,13
597,16,16,17
598,16,16,5
599,16,16,9
600,16,16,13
601,16,16,10
602,16,16,9
603,16,16,10
604,16,16,8
605,16,16,13
606,16,16,8
607,16,16,7
608,16,16,10
609,16,16,11
610,16,16,7
611,16,16,10
612,16,16,8
613,16,16,15
614,16,16,8
