pair_id,sequence_length_a,sequence_length_b,max_local_alignment_score
0,32,32,18
1,32,32,18
2,32,32,23
3,32,32,14
4,32,32,18
5,32,32,20
6,32,32,21
7,32,32,14
8,32,32,12
9,32,32,19
10,32,32,18
11,32,32,17
12,32,32,20
13,32,32,18
14,32,32,18
15,32,32,16
16,32,32,14
17,32,32,17
18,32,32,16
19,32,32,21
20,32,32,16
21,32,32,18
22,32,32,24
23,32,32,19
24,32,32,17
25,32,32,19
26,32,32,22
27,32,32,19
28,32,32,13
29,32,32,15
30,32,32,16
31,32,32,19
32,32,32,14
33,32,32,11
34,32,32,15
35,32,32,19
36,32,32,17
37,32,32,14
38,32,32,14
39,32,32,17
40,32,32,15
41,32,32,20
42,32,32,21
43,32,32,20
44,32,32,14
45,32,32,18
46,32,32,14
47,32,32,17
48,32,32,13
49,32,32,22
50,32,32,18
51,32,32,13
52,32,32,13
53,32,32,9
54,32,32,18
55,32,32,12
56,32,32,20
57,32,32,15
58,32,32,13
59,32,32,15
60,32,32,16
61,32,32,18
62,32,32,13
63,32,32,13
64,32,32,15
65,32,32,12
66,32,32,13
67,32,32,18
68,32,32,17
69,32,32,24
70,32,32,13
71,32,32,16
72,32,32,14
73,32,32,15
74,32,32,18
75,32,32,23
76,32,32,17
77,32,32,12
78,32,32,17
79,32,32,15
80,32,32,16
81,32,32,19
82,32,32,15
83,32,32,14
84,32,32,21
85,32,32,29
86,32,32,20
87,32,32,15
88,32,32,14
89,32,32,16
90,32,32,15
91,32,32,23
92,32,32,19
93,32,32,15
94,32,32,15
95,32,32,19
96,32,32,17
97,32,32,18
98,32,32,11
99,32,32,18
100,32,32,13
101,32,32,19
102,32,32,14
103,32,32,23
104,32,32,18
105,32,32,13
106,32,32,9
107,32,32,21
108,32,32,16
109,32,32,18
110,32,32,20
111,32,32,14
112,32,32,18
113,32,32,16
114,32,32,10
115,32,32,17
116,32,32,22
117,32,32,12
118,32,32,20
119,32,32,16
120,32,32,23
121,32,32,21
122,32,32,15
123,32,32,17
124,32,32,14
125,32,32,17
126,32,32,15
127,32,32,24
128,32,32,15
129,32,32,19
130,32,32,14
131,32,32,16
132,32,32,18
133,32,32,11
134,32,32,16
135,32,32,14
136,32,32,14
137,32,32,17
138,32,32,21
139,32,32,12
140,32,32,15
141,32,32,18
142,32,32,15
143,32,32,16
144,32,32,14
145,32,32,17
146,32,32,14
147,32,32,21
148,32,32,18
149,32,32,20
150,32,32,13
151,32,32,15
152,32,32,16
153,32,32,16
154,32,32,20
155,32,32,14
156,32,32,15
157,32,32,18
158,32,32,20
159,32,32,15
160,32,32,12
161,32,32,24
162,32,32,17
163,32,32,16
164,32,32,17
165,32,32,22
166,32,32,16
167,32,32,19
168,32,32,12
169,32,32,18
170,32,32,16
171,32,32,17
172,32,32,30
173,32,32,16
174,32,32,21
175,32,32,18
176,32,32,24
177,32,32,20
178,32,32,17
179,32,32,17
180,32,32,17
181,32,32,12
182,32,32,16
183,32,32,13
184,32,32,13
185,32,32,15
186,32,32,20
187,32,32,18
188,32,32,20
189,32,32,13
190,32,32,18
191,32,32,20
192,32,32,16
193,32,32,21
194,32,32,20
195,32,32,18
196,32,32,15
197,32,32,16
198,32,32,18
199,32,32,13
200,32,32,15
201,32,32,21
202,32,32,13
203,32,32,16
204,32,32,17
205,32,32,14
206,32,32,22
207,32,32,19
208,32,32,21
209,32,32,18
210,32,32,12
211,32,32,14
212,32,32,13
213,32,32,13
214,32,32,16
215,32,32,13
216,32,32,13
217,32,32,19
218,32,32,14
219,32,32,16
220,32,32,19
221,32,32,18
222,32,32,19
223,32,32,8
224,32,32,16
225,32,32,22
226,32,32,18
227,32,32,17
228,32,32,17
229,32,32,18
230,32,32,15
231,32,32,17
232,32,32,12
233,32,32,15
234,32,32,16
235,32,32,22
236,32,32,23
237,32,32,20
238,32,32,20
239,32,32,13
240,32,32,17
241,32,32,26
242,32,32,13
243,32,32,13
244,32,32,16
245,32,32,18
246,32,32,15
247,32,32,19
248,32,32,13
249,32,32,13
250,32,32,13
251,32,32,22
252,32,32,23
253,32,32,13
254,32,32,21
255,32,32,13
256,32,32,16
257,32,32,15
258,32,32,14
259,32,32,12
260,32,32,15
261,32,32,21
262,32,32,13
263,32,32,22
264,32,32,14
265,32,32,18
266,32,32,15
267,32,32,13
268,32,32,13
269,32,32,24
270,32,32,15
271,32,32,17
272,32,32,24
273,32,32,20
274,32,32,10
275,32,32,12
276,32,32,13
277,32,32,14
278,32,32,17
279,32,32,19
280,32,32,19
281,32,32,19
282,32,32,15
283,32,32,15
284,32,32,14
285,32,32,17
286,32,32,23
287,32,32,16
288,32,32,17
289,32,32,17
290,32,32,22
291,32,32,18
292,32,32,18
293,32,32,22
294,32,32,17
295,32,32,13
296,32,32,16
297,32,32,18
298,32,32,21
299,32,32,17
300,32,32,21
301,32,32,21
302,32,32,12
303,32,32,17
304,32,32,14
305,32,32,12
306,32,32,15
307,32,32,17
308,32,32,15
309,32,32,14
310,32,32,14
311,32,32,14
312,32,32,14
313,32,32,19
314,32,32,11
315,32,32,24
316,32,32,16
317,32,32,13
318,32,32,13
319,32,32,16
320,32,32,16
321,32,32,16
322,32,32,17
323,32,32,15
324,32,32,17
325,32,32,13
326,32,32,15
327,32,32,16
328,32,32,20
329,32,32,17
330,32,32,16
331,32,32,15
332,32,32,14
333,32,32,17
334,32,32,25
335,32,32,16
336,32,32,12
337,32,32,12
338,32,32,14
339,32,32,19
340,32,32,18
341,32,32,18
342,32,32,13
343,32,32,13
344,32,32,15
345,32,32,18
346,32,32,20
347,32,32,14
348,32,32,17
349,32,32,16
350,32,32,14
351,32,32,24
352,32,32,17
353,32,32,21
354,32,32,21
355,32,32,17
356,32,32,11
357,32,32,22
358,32,32,17
359,32,32,15
360,32,32,24
361,32,32,13
362,32,32,21
363,32,32,18
364,32,32,18
365,32,32,11
366,32,32,18
367,32,32,13
368,32,32,16
369,32,32,10
370,32,32,16
371,32,32,14
372,32,32,21
373,32,32,21
374,32,32,15
375,32,32,19
376,32,32,15
