pair_id,sequence_length_a,sequence_length_b,max_local_alignment_score
0,32,32,18
1,32,32,18
2,32,32,23
3,32,32,14
4,32,32,18
5,32,32,20
6,32,32,21
7,32,32,14
8,32,32,12
9,32,32,19
10,32,32,18
11,32,32,17
12,32,32,20
13,32,32,18
14,32,32,18
15,32,32,16
16,32,32,14
17,32,32,17
18,32,32,16
19,32,32,21
20,32,32,16
21,32,32,18
22,32,32,24
23,32,32,19
24,32,32,17
25,32,32,19
26,32,32,22
27,32,32,19
28,32,32,13
29,32,32,15
30,32,32,16
31,32,32,19
32,32,32,14
33,32,32,11
34,32,32,15
35,32,32,19
36,32,32,17
37,32,32,14
38,32,32,14
39,32,32,17
40,32,32,15
41,32,32,20
42,32,32,21
43,32,32,20
44,32,32,14
45,32,32,18
46,32,32,14
47,32,32,17
48,32,32,13
49,32,32,22
50,32,32,18
51,32,32,13
52,32,32,13
53,32,32,9
54,32,32,18
55,32,32,12
56,32,32,20
57,32,32,15
58,32,32,13
59,32,32,15
60,32,32,16
61,32,32,18
62,32,32,13
63,32,32,13
64,32,32,15
65,32,32,12
66,32,32,13
67,32,32,18
68,32,32,17
69,32,32,24
70,32,32,13
71,32,32,16
72,32,32,14
73,32,32,15
74,32,32,18
75,32,32,23
76,32,32,17
77,32,32,12
78,32,32,17
79,32,32,15
80,32,32,16
81,32,32,19
82,32,32,15
83,32,32,14
84,32,32,21
85,32,32,29
86,32,32,20
87,32,32,15
88,32,32,14
89,32,32,16
90,32,32,15
91,32,32,23
92,32,32,19
93,32,32,15
94,32,32,15
95,32,32,19
96,32,32,17
97,32,32,18
98,32,32,11
99,32,32,18
