pair_id,sequence_length_a,sequence_length_b,max_local_alignment_score
0,256,256,122
1,256,256,114
2,256,256,117
3,256,256,112
4,256,256,102
5,256,256,120
6,256,256,97
7,256,256,103
8,256,256,105
9,256,256,105
10,256,256,99
11,256,256,128
12,256,256,122
13,256,256,116
14,256,256,112
15,256,256,121
16,256,256,123
17,256,256,110
18,256,256,130
19,256,256,107
20,256,256,124
21,256,256,117
22,256,256,127
23,256,256,131
24,256,256,106
25,256,256,110
26,256,256,113
27,256,256,121
28,256,256,119
29,256,256,107
30,256,256,114
31,256,256,112
32,256,256,113
33,256,256,118
34,256,256,108
35,256,256,118
36,256,256,128
37,256,256,112
38,256,256,113
39,256,256,100
40,256,256,114
41,256,256,107
42,256,256,116
43,256,256,114
44,256,256,119
45,256,256,113
46,256,256,105
47,256,256,133
48,256,256,112
49,256,256,107
50,256,256,104
51,256,256,105
52,256,256,131
53,256,256,117
54,256,256,113
55,256,256,108
56,256,256,97
57,256,256,102
58,256,256,122
59,256,256,102
60,256,256,128
61,256,256,120
62,256,256,120
63,256,256,109
64,256,256,131
65,256,256,105
66,256,256,128
67,256,256,113
68,256,256,128
69,256,256,103
70,256,256,112
71,256,256,124
72,256,256,117
73,256,256,109
74,256,256,138
75,256,256,98
76,256,256,124
77,256,256,104
78,256,256,111
79,256,256,123
80,256,256,133
81,256,256,136
82,256,256,114
83,256,256,127
84,256,256,98
85,256,256,112
86,256,256,121
87,256,256,107
88,256,256,119
89,256,256,107
90,256,256,129
91,256,256,95
92,256,256,115
93,256,256,117
94,256,256,103
95,256,256,106
96,256,256,128
97,256,256,111
98,256,256,99
99,256,256,116
