pair_id,sequence_length_a,sequence_length_b,max_local_alignment_score
0,64,64,28
1,64,64,36
2,64,64,36
3,64,64,30
4,64,64,25
5,64,64,45
6,64,64,36
7,64,64,27
8,64,64,23
9,64,64,27
10,64,64,31
11,64,64,36
12,64,64,29
13,64,64,32
14,64,64,26
15,64,64,35
16,64,64,24
17,64,64,28
18,64,64,33
19,64,64,30
20,64,64,31
21,64,64,34
22,64,64,25
23,64,64,35
24,64,64,28
25,64,64,25
26,64,64,27
27,64,64,27
28,64,64,35
29,64,64,35
30,64,64,34
31,64,64,31
32,64,64,30
33,64,64,27
34,64,64,34
35,64,64,27
36,64,64,30
37,64,64,23
38,64,64,32
39,64,64,32
40,64,64,31
41,64,64,29
42,64,64,39
43,64,64,34
44,64,64,29
45,64,64,29
46,64,64,23
47,64,64,33
48,64,64,33
49,64,64,31
50,64,64,31
51,64,64,28
52,64,64,28
53,64,64,43
54,64,64,28
55,64,64,35
56,64,64,28
57,64,64,24
58,64,64,27
59,64,64,43
60,64,64,31
61,64,64,22
62,64,64,27
63,64,64,33
64,64,64,25
65,64,64,28
66,64,64,29
67,64,64,31
68,64,64,26
69,64,64,32
70,64,64,28
71,64,64,28
72,64,64,38
73,64,64,34
74,64,64,30
75,64,64,28
76,64,64,26
77,64,64,29
78,64,64,29
79,64,64,25
80,64,64,29
81,64,64,32
82,64,64,28
83,64,64,26
84,64,64,27
85,64,64,32
86,64,64,24
87,64,64,39
88,64,64,25
89,64,64,25
90,64,64,24
91,64,64,31
92,64,64,28
93,64,64,26
94,64,64,39
95,64,64,31
96,64,64,37
97,64,64,26
98,64,64,31
99,64,64,22
