pair_id,sequence_length_a,sequence_length_b,max_local_alignment_score
0,64,64,28
1,64,64,36
2,64,64,36
3,64,64,30
4,64,64,25
5,64,64,45
6,64,64,36
7,64,64,27
8,64,64,23
9,64,64,27
10,64,64,31
11,64,64,36
12,64,64,29
13,64,64,32
14,64,64,26
15,64,64,35
16,64,64,24
17,64,64,28
18,64,64,33
19,64,64,30
20,64,64,31
21,64,64,34
22,64,64,25
23,64,64,35
24,64,64,28
25,64,64,25
26,64,64,27
27,64,64,27
28,64,64,35
29,64,64,35
30,64,64,34
31,64,64,31
32,64,64,30
33,64,64,27
34,64,64,34
35,64,64,27
36,64,64,30
37,64,64,23
38,64,64,32
39,64,64,32
40,64,64,31
41,64,64,29
42,64,64,39
43,64,64,34
44,64,64,29
45,64,64,29
46,64,64,23
47,64,64,33
48,64,64,33
49,64,64,31
50,64,64,31
51,64,64,28
52,64,64,28
53,64,64,43
54,64,64,28
55,64,64,35
56,64,64,28
57,64,64,24
58,64,64,27
59,64,64,43
60,64,64,31
61,64,64,22
62,64,64,27
63,64,64,33
64,64,64,25
65,64,64,28
66,64,64,29
67,64,64,31
68,64,64,26
69,64,64,32
70,64,64,28
71,64,64,28
72,64,64,38
73,64,64,34
74,64,64,30
75,64,64,28
76,64,64,26
77,64,64,29
78,64,64,29
79,64,64,25
80,64,64,29
81,64,64,32
82,64,64,28
83,64,64,26
84,64,64,27
85,64,64,32
86,64,64,24
87,64,64,39
88,64,64,25
89,64,64,25
90,64,64,24
91,64,64,31
92,64,64,28
93,64,64,26
94,64,64,39
95,64,64,31
96,64,64,37
97,64,64,26
98,64,64,31
99,64,64,22
100,64,64,31
101,64,64,30
102,64,64,32
103,64,64,26
104,64,64,30
105,64,64,34
106,64,64,28
107,64,64,31
108,64,64,25
109,64,64,26
110,64,64,38
111,64,64,33
112,64,64,28
113,64,64,27
114,64,64,30
115,64,64,23
116,64,64,29
117,64,64,40
118,64,64,28
119,64,64,37
120,64,64,24
121,64,64,27
122,64,64,29
123,64,64,29
124,64,64,31
125,64,64,35
126,64,64,34
127,64,64,29
128,64,64,29
129,64,64,27
130,64,64,36
131,64,64,29
132,64,64,26
133,64,64,28
134,64,64,31
135,64,64,26
136,64,64,37
137,64,64,43
138,64,64,28
139,64,64,37
140,64,64,39
141,64,64,33
142,64,64,27
143,64,64,29
144,64,64,33
145,64,64,34
146,64,64,27
147,64,64,30
148,64,64,40
149,64,64,34
150,64,64,31
151,64,64,23
152,64,64,27
153,64,64,30
154,64,64,36
155,64,64,33
156,64,64,37
157,64,64,30
158,64,64,31
159,64,64,24
160,64,64,39
161,64,64,31
162,64,64,36
163,64,64,32
164,64,64,36
165,64,64,35
166,64,64,22
167,64,64,23
168,64,64,27
169,64,64,29
170,64,64,33
171,64,64,24
172,64,64,28
173,64,64,32
174,64,64,32
175,64,64,33
176,64,64,34
177,64,64,27
178,64,64,30
179,64,64,32
180,64,64,26
181,64,64,27
182,64,64,30
183,64,64,28
184,64,64,30
185,64,64,34
186,64,64,22
187,64,64,33
188,64,64,33
189,64,64,32
190,64,64,25
191,64,64,30
192,64,64,30
193,64,64,27
194,64,64,29
195,64,64,27
196,64,64,27
197,64,64,27
198,64,64,34
199,64,64,26
200,64,64,26
201,64,64,29
202,64,64,29
203,64,64,29
204,64,64,27
205,64,64,25
206,64,64,33
207,64,64,29
208,64,64,32
209,64,64,31
210,64,64,28
211,64,64,34
212,64,64,33
213,64,64,25
214,64,64,29
215,64,64,26
216,64,64,28
217,64,64,35
218,64,64,22
219,64,64,27
220,64,64,35
221,64,64,35
222,64,64,38
223,64,64,35
224,64,64,28
225,64,64,33
226,64,64,35
227,64,64,29
228,64,64,29
229,64,64,28
230,64,64,29
231,64,64,29
232,64,64,29
233,64,64,42
234,64,64,26
235,64,64,26
236,64,64,23
237,64,64,25
238,64,64,39
239,64,64,32
240,64,64,33
241,64,64,33
242,64,64,23
243,64,64,32
244,64,64,38
245,64,64,26
246,64,64,28
247,64,64,31
248,64,64,31
249,64,64,31
250,64,64,21
251,64,64,30
252,64,64,31
253,64,64,28
254,64,64,30
255,64,64,30
256,64,64,28
257,64,64,26
258,64,64,33
259,64,64,35
260,64,64,27
261,64,64,28
262,64,64,29
263,64,64,28
264,64,64,29
265,64,64,23
266,64,64,37
267,64,64,24
268,64,64,43
269,64,64,27
270,64,64,42
271,64,64,30
272,64,64,29
273,64,64,25
274,64,64,36
275,64,64,33
276,64,64,31
277,64,64,32
278,64,64,30
279,64,64,37
280,64,64,33
281,64,64,31
282,64,64,30
283,64,64,26
284,64,64,30
285,64,64,35
286,64,64,25
287,64,64,28
288,64,64,27
289,64,64,31
290,64,64,29
291,64,64,43
292,64,64,29
293,64,64,23
294,64,64,27
