pair_id,sequence_length_a,sequence_length_b,alignment_score
0,64,64,17
1,64,64,11
2,64,64,32
3,64,64,17
4,64,64,8
5,64,64,41
6,64,64,11
7,64,64,11
8,64,64,11
9,64,64,20
10,64,64,23
11,64,64,29
12,64,64,17
13,64,64,17
14,64,64,14
15,64,64,23
16,64,64,11
17,64,64,11
18,64,64,17
19,64,64,17
20,64,64,23
21,64,64,26
22,64,64,8
23,64,64,29
24,64,64,8
25,64,64,20
26,64,64,14
27,64,64,17
28,64,64,23
29,64,64,26
30,64,64,26
31,64,64,20
32,64,64,20
33,64,64,11
34,64,64,26
35,64,64,8
36,64,64,14
37,64,64,17
38,64,64,17
39,64,64,20
40,64,64,23
41,64,64,23
42,64,64,29
43,64,64,20
44,64,64,8
45,64,64,14
46,64,64,11
47,64,64,20
48,64,64,32
49,64,64,20
50,64,64,20
51,64,64,20
52,64,64,17
53,64,64,29
54,64,64,17
55,64,64,29
56,64,64,20
57,64,64,14
58,64,64,17
59,64,64,35
60,64,64,23
61,64,64,11
62,64,64,20
63,64,64,29
64,64,64,17
65,64,64,17
66,64,64,23
67,64,64,20
68,64,64,11
69,64,64,17
70,64,64,17
71,64,64,11
72,64,64,23
73,64,64,20
74,64,64,8
75,64,64,23
76,64,64,11
77,64,64,17
78,64,64,17
79,64,64,5
80,64,64,14
81,64,64,17
82,64,64,8
83,64,64,2
84,64,64,14
85,64,64,20
86,64,64,20
87,64,64,26
88,64,64,17
89,64,64,11
90,64,64,8
91,64,64,11
92,64,64,5
93,64,64,17
94,64,64,23
95,64,64,17
96,64,64,29
97,64,64,11
98,64,64,20
99,64,64,5
