pair_id,sequence_length_a,sequence_length_b,alignment_score
0,128,128,43
1,128,128,40
2,128,128,37
3,128,128,40
4,128,128,34
5,128,128,49
6,128,128,43
7,128,128,43
8,128,128,37
9,128,128,43
10,128,128,55
11,128,128,43
12,128,128,49
13,128,128,34
14,128,128,49
15,128,128,43
16,128,128,55
17,128,128,52
18,128,128,40
19,128,128,37
20,128,128,34
21,128,128,58
22,128,128,49
23,128,128,37
24,128,128,55
25,128,128,58
26,128,128,37
27,128,128,43
28,128,128,52
29,128,128,25
30,128,128,43
31,128,128,37
32,128,128,49
33,128,128,34
34,128,128,49
35,128,128,52
36,128,128,52
37,128,128,58
38,128,128,55
39,128,128,43
40,128,128,64
41,128,128,40
42,128,128,46
43,128,128,58
44,128,128,49
45,128,128,25
46,128,128,34
47,128,128,49
48,128,128,40
49,128,128,43
50,128,128,37
51,128,128,34
52,128,128,22
53,128,128,55
54,128,128,43
55,128,128,70
56,128,128,49
57,128,128,49
58,128,128,46
59,128,128,40
60,128,128,43
61,128,128,49
62,128,128,49
63,128,128,43
64,128,128,34
65,128,128,49
66,128,128,52
67,128,128,49
68,128,128,40
69,128,128,49
70,128,128,37
71,128,128,28
72,128,128,52
73,128,128,49
74,128,128,43
75,128,128,34
76,128,128,46
77,128,128,46
78,128,128,37
79,128,128,31
80,128,128,46
81,128,128,37
82,128,128,49
83,128,128,34
84,128,128,49
85,128,128,49
86,128,128,49
87,128,128,40
88,128,128,49
89,128,128,31
90,128,128,37
91,128,128,46
92,128,128,46
93,128,128,40
94,128,128,49
95,128,128,40
96,128,128,46
97,128,128,46
98,128,128,37
99,128,128,61
