pair_id,sequence_length_a,sequence_length_b,alignment_score
0,64,64,17
1,64,64,11
2,64,64,32
3,64,64,17
4,64,64,8
5,64,64,41
6,64,64,11
7,64,64,11
8,64,64,11
9,64,64,20
10,64,64,23
11,64,64,29
12,64,64,17
13,64,64,17
14,64,64,14
15,64,64,23
16,64,64,11
17,64,64,11
18,64,64,17
19,64,64,17
20,64,64,23
21,64,64,26
22,64,64,8
23,64,64,29
24,64,64,8
25,64,64,20
26,64,64,14
27,64,64,17
28,64,64,23
29,64,64,26
30,64,64,26
31,64,64,20
32,64,64,20
33,64,64,11
34,64,64,26
35,64,64,8
36,64,64,14
37,64,64,17
38,64,64,17
39,64,64,20
40,64,64,23
41,64,64,23
42,64,64,29
43,64,64,20
44,64,64,8
45,64,64,14
46,64,64,11
47,64,64,20
48,64,64,32
49,64,64,20
50,64,64,20
51,64,64,20
52,64,64,17
53,64,64,29
54,64,64,17
55,64,64,29
56,64,64,20
57,64,64,14
58,64,64,17
59,64,64,35
60,64,64,23
61,64,64,11
62,64,64,20
63,64,64,29
64,64,64,17
65,64,64,17
66,64,64,23
67,64,64,20
68,64,64,11
69,64,64,17
70,64,64,17
71,64,64,11
72,64,64,23
73,64,64,20
74,64,64,8
75,64,64,23
76,64,64,11
77,64,64,17
78,64,64,17
79,64,64,5
80,64,64,14
81,64,64,17
82,64,64,8
83,64,64,2
84,64,64,14
85,64,64,20
86,64,64,20
87,64,64,26
88,64,64,17
89,64,64,11
90,64,64,8
91,64,64,11
92,64,64,5
93,64,64,17
94,64,64,23
95,64,64,17
96,64,64,29
97,64,64,11
98,64,64,20
99,64,64,5
100,64,64,11
101,64,64,5
102,64,64,11
103,64,64,17
104,64,64,14
105,64,64,17
106,64,64,20
107,64,64,17
108,64,64,5
109,64,64,14
110,64,64,35
111,64,64,23
112,64,64,23
113,64,64,14
114,64,64,8
115,64,64,8
116,64,64,20
117,64,64,35
118,64,64,23
119,64,64,14
120,64,64,11
121,64,64,14
122,64,64,14
123,64,64,14
124,64,64,23
125,64,64,23
126,64,64,26
127,64,64,17
128,64,64,17
129,64,64,11
130,64,64,32
131,64,64,23
132,64,64,17
133,64,64,20
134,64,64,23
135,64,64,11
136,64,64,23
137,64,64,38
138,64,64,11
139,64,64,20
140,64,64,20
141,64,64,23
142,64,64,14
143,64,64,2
144,64,64,11
145,64,64,20
146,64,64,11
147,64,64,20
148,64,64,26
149,64,64,29
150,64,64,20
151,64,64,2
152,64,64,20
153,64,64,20
154,64,64,20
155,64,64,14
156,64,64,23
157,64,64,23
158,64,64,20
159,64,64,14
160,64,64,23
161,64,64,14
162,64,64,17
163,64,64,20
164,64,64,20
165,64,64,32
166,64,64,5
167,64,64,8
168,64,64,17
169,64,64,23
170,64,64,17
171,64,64,14
172,64,64,20
173,64,64,20
174,64,64,17
175,64,64,17
176,64,64,8
177,64,64,14
178,64,64,2
179,64,64,23
180,64,64,17
181,64,64,14
182,64,64,23
183,64,64,14
184,64,64,8
185,64,64,26
186,64,64,14
187,64,64,26
188,64,64,17
189,64,64,23
190,64,64,17
191,64,64,20
192,64,64,26
193,64,64,14
194,64,64,20
195,64,64,17
196,64,64,5
197,64,64,20
198,64,64,17
199,64,64,11
200,64,64,11
201,64,64,14
202,64,64,17
203,64,64,23
204,64,64,14
205,64,64,11
206,64,64,17
207,64,64,14
208,64,64,29
209,64,64,23
210,64,64,14
211,64,64,17
212,64,64,20
213,64,64,11
214,64,64,20
215,64,64,17
216,64,64,14
217,64,64,29
218,64,64,14
219,64,64,17
220,64,64,23
221,64,64,26
222,64,64,20
223,64,64,26
224,64,64,20
225,64,64,26
226,64,64,20
227,64,64,26
228,64,64,20
229,64,64,14
230,64,64,17
231,64,64,17
232,64,64,23
233,64,64,11
234,64,64,20
235,64,64,14
236,64,64,8
237,64,64,20
238,64,64,26
239,64,64,23
240,64,64,23
241,64,64,20
242,64,64,5
243,64,64,26
244,64,64,23
245,64,64,11
246,64,64,17
247,64,64,23
248,64,64,23
249,64,64,20
250,64,64,8
251,64,64,11
252,64,64,20
253,64,64,14
254,64,64,20
255,64,64,26
256,64,64,17
257,64,64,17
258,64,64,23
259,64,64,8
260,64,64,14
261,64,64,23
262,64,64,17
263,64,64,11
264,64,64,23
265,64,64,20
266,64,64,32
267,64,64,11
268,64,64,26
269,64,64,8
270,64,64,35
271,64,64,23
272,64,64,26
273,64,64,14
274,64,64,23
275,64,64,23
276,64,64,17
277,64,64,20
278,64,64,11
279,64,64,23
280,64,64,20
281,64,64,20
282,64,64,20
283,64,64,17
284,64,64,5
285,64,64,29
286,64,64,8
