pair_id,sequence_length_a,sequence_length_b,alignment_score
0,16,16,-7
1,16,16,2
2,16,16,2
3,16,16,-4
4,16,16,-4
5,16,16,-4
6,16,16,-4
7,16,16,-1
8,16,16,8
9,16,16,2
10,16,16,-1
11,16,16,2
12,16,16,-1
13,16,16,8
14,16,16,-7
15,16,16,5
16,16,16,-1
17,16,16,-1
18,16,16,-7
19,16,16,8
20,16,16,-1
21,16,16,5
22,16,16,5
23,16,16,2
24,16,16,-1
25,16,16,2
26,16,16,2
27,16,16,-1
28,16,16,-1
29,16,16,2
30,16,16,2
31,16,16,-1
32,16,16,2
33,16,16,-4
34,16,16,2
35,16,16,8
36,16,16,-1
37,16,16,2
38,16,16,2
39,16,16,5
40,16,16,5
41,16,16,-1
42,16,16,2
43,16,16,11
44,16,16,2
45,16,16,2
46,16,16,-1
47,16,16,5
48,16,16,5
49,16,16,2
50,16,16,-1
51,16,16,8
52,16,16,5
53,16,16,2
54,16,16,2
55,16,16,2
56,16,16,8
57,16,16,11
58,16,16,-1
59,16,16,5
60,16,16,5
61,16,16,-7
62,16,16,2
63,16,16,2
64,16,16,2
65,16,16,2
66,16,16,-7
67,16,16,2
68,16,16,2
69,16,16,-1
70,16,16,8
71,16,16,5
72,16,16,8
73,16,16,-4
74,16,16,2
75,16,16,2
76,16,16,5
77,16,16,-4
78,16,16,5
79,16,16,5
80,16,16,-4
81,16,16,5
82,16,16,2
83,16,16,11
84,16,16,-1
85,16,16,2
86,16,16,5
87,16,16,2
88,16,16,2
89,16,16,2
90,16,16,5
91,16,16,2
92,16,16,8
93,16,16,-7
94,16,16,2
95,16,16,2
96,16,16,-4
97,16,16,-1
98,16,16,5
99,16,16,2
100,16,16,5
101,16,16,5
102,16,16,-1
103,16,16,2
104,16,16,-7
105,16,16,2
106,16,16,2
107,16,16,-1
108,16,16,-1
109,16,16,2
110,16,16,2
111,16,16,-4
112,16,16,2
113,16,16,2
114,16,16,2
115,16,16,2
116,16,16,11
117,16,16,11
118,16,16,8
119,16,16,5
120,16,16,-1
121,16,16,5
122,16,16,8
123,16,16,5
124,16,16,5
125,16,16,5
126,16,16,-1
127,16,16,-1
128,16,16,-7
129,16,16,-4
130,16,16,5
131,16,16,5
132,16,16,2
133,16,16,2
134,16,16,2
135,16,16,2
136,16,16,5
137,16,16,5
138,16,16,-1
139,16,16,5
140,16,16,5
141,16,16,-1
142,16,16,8
143,16,16,-1
144,16,16,11
145,16,16,5
146,16,16,-1
147,16,16,2
148,16,16,-4
149,16,16,5
150,16,16,8
151,16,16,-1
152,16,16,-1
153,16,16,5
154,16,16,2
155,16,16,-7
156,16,16,11
157,16,16,-1
158,16,16,2
159,16,16,5
160,16,16,-4
161,16,16,-1
162,16,16,-7
163,16,16,2
164,16,16,2
165,16,16,-1
166,16,16,-1
167,16,16,-4
168,16,16,5
169,16,16,-1
170,16,16,2
171,16,16,2
172,16,16,5
173,16,16,5
174,16,16,8
175,16,16,5
176,16,16,8
177,16,16,-1
178,16,16,-1
179,16,16,-1
180,16,16,2
181,16,16,5
182,16,16,2
183,16,16,-4
184,16,16,5
185,16,16,8
186,16,16,2
187,16,16,-4
188,16,16,2
189,16,16,2
190,16,16,5
191,16,16,-4
192,16,16,-4
193,16,16,2
194,16,16,-1
195,16,16,2
196,16,16,5
197,16,16,-4
198,16,16,2
199,16,16,8
200,16,16,-4
201,16,16,8
202,16,16,5
203,16,16,8
204,16,16,2
205,16,16,11
206,16,16,5
207,16,16,5
208,16,16,2
209,16,16,-1
210,16,16,8
211,16,16,5
212,16,16,5
213,16,16,-1
214,16,16,-1
215,16,16,2
216,16,16,-1
217,16,16,5
218,16,16,-4
219,16,16,8
220,16,16,2
221,16,16,2
222,16,16,-1
223,16,16,5
224,16,16,2
225,16,16,2
226,16,16,2
227,16,16,5
228,16,16,2
229,16,16,5
230,16,16,2
231,16,16,8
232,16,16,-1
233,16,16,5
234,16,16,-4
235,16,16,2
236,16,16,5
237,16,16,-1
238,16,16,2
239,16,16,-1
240,16,16,5
241,16,16,14
242,16,16,2
243,16,16,8
244,16,16,11
245,16,16,2
246,16,16,5
247,16,16,5
248,16,16,-1
249,16,16,-1
250,16,16,-4
251,16,16,-4
252,16,16,2
253,16,16,-4
254,16,16,-1
255,16,16,2
256,16,16,2
257,16,16,2
258,16,16,-1
259,16,16,2
260,16,16,8
261,16,16,-1
262,16,16,-1
263,16,16,8
264,16,16,5
265,16,16,-1
266,16,16,8
267,16,16,-1
268,16,16,2
269,16,16,5
270,16,16,-1
271,16,16,2
272,16,16,-1
273,16,16,11
274,16,16,-1
275,16,16,8
276,16,16,-4
277,16,16,-1
278,16,16,8
279,16,16,5
