pair_id,sequence_length_a,sequence_length_b,alignment_score
0,32,32,7
1,32,32,10
2,32,32,19
3,32,32,7
4,32,32,10
5,32,32,7
6,32,32,-5
7,32,32,7
8,32,32,7
9,32,32,10
10,32,32,4
11,32,32,10
12,32,32,10
13,32,32,7
14,32,32,7
15,32,32,10
16,32,32,10
17,32,32,4
18,32,32,10
19,32,32,10
20,32,32,7
21,32,32,4
22,32,32,22
23,32,32,7
24,32,32,-2
25,32,32,10
26,32,32,13
27,32,32,4
28,32,32,4
29,32,32,-2
30,32,32,7
31,32,32,10
32,32,32,1
33,32,32,-2
34,32,32,7
35,32,32,7
36,32,32,10
37,32,32,-2
38,32,32,-5
39,32,32,10
40,32,32,4
41,32,32,10
42,32,32,13
43,32,32,7
44,32,32,7
45,32,32,10
46,32,32,10
47,32,32,4
48,32,32,-2
49,32,32,16
50,32,32,10
51,32,32,4
52,32,32,1
53,32,32,1
54,32,32,10
55,32,32,-5
56,32,32,7
57,32,32,10
58,32,32,-8
59,32,32,7
60,32,32,7
61,32,32,16
62,32,32,1
63,32,32,1
64,32,32,1
65,32,32,1
66,32,32,4
67,32,32,13
68,32,32,13
69,32,32,7
70,32,32,4
71,32,32,7
72,32,32,4
73,32,32,7
74,32,32,13
75,32,32,16
76,32,32,1
77,32,32,7
78,32,32,4
79,32,32,1
80,32,32,7
81,32,32,10
82,32,32,7
83,32,32,-2
84,32,32,16
85,32,32,25
86,32,32,16
87,32,32,4
88,32,32,4
89,32,32,1
90,32,32,10
91,32,32,16
92,32,32,1
93,32,32,7
94,32,32,10
95,32,32,13
96,32,32,10
97,32,32,13
98,32,32,7
99,32,32,4
100,32,32,7
101,32,32,4
102,32,32,4
103,32,32,22
104,32,32,10
105,32,32,-2
106,32,32,7
107,32,32,13
108,32,32,1
109,32,32,-5
110,32,32,13
111,32,32,1
112,32,32,13
113,32,32,13
114,32,32,7
115,32,32,-2
116,32,32,7
117,32,32,-8
118,32,32,10
119,32,32,4
120,32,32,19
121,32,32,13
122,32,32,7
123,32,32,10
124,32,32,-2
125,32,32,4
126,32,32,1
127,32,32,16
128,32,32,7
129,32,32,1
130,32,32,4
131,32,32,1
132,32,32,10
133,32,32,1
134,32,32,4
135,32,32,1
136,32,32,4
137,32,32,7
138,32,32,16
139,32,32,1
140,32,32,10
141,32,32,10
142,32,32,7
143,32,32,-5
144,32,32,7
145,32,32,7
146,32,32,4
147,32,32,10
148,32,32,10
149,32,32,10
150,32,32,4
151,32,32,4
152,32,32,13
153,32,32,-2
154,32,32,4
155,32,32,-2
156,32,32,1
157,32,32,7
158,32,32,7
159,32,32,10
160,32,32,-5
161,32,32,10
162,32,32,10
163,32,32,7
164,32,32,4
165,32,32,16
166,32,32,4
167,32,32,7
168,32,32,7
169,32,32,7
170,32,32,10
171,32,32,7
172,32,32,28
173,32,32,7
174,32,32,19
175,32,32,10
176,32,32,19
177,32,32,13
178,32,32,10
179,32,32,13
180,32,32,7
181,32,32,7
182,32,32,-2
183,32,32,-2
184,32,32,4
185,32,32,7
186,32,32,7
187,32,32,7
188,32,32,13
189,32,32,10
190,32,32,7
191,32,32,4
192,32,32,7
193,32,32,16
194,32,32,7
195,32,32,7
196,32,32,7
197,32,32,1
198,32,32,-5
199,32,32,-2
200,32,32,10
201,32,32,13
202,32,32,7
203,32,32,13
204,32,32,13
205,32,32,-2
206,32,32,10
207,32,32,7
208,32,32,7
209,32,32,10
210,32,32,-2
211,32,32,4
212,32,32,1
213,32,32,1
214,32,32,10
215,32,32,-2
216,32,32,1
217,32,32,10
218,32,32,4
219,32,32,7
220,32,32,13
221,32,32,7
222,32,32,10
223,32,32,1
224,32,32,10
225,32,32,19
226,32,32,7
227,32,32,4
228,32,32,10
229,32,32,10
230,32,32,4
231,32,32,7
232,32,32,4
233,32,32,10
234,32,32,7
235,32,32,16
236,32,32,7
237,32,32,13
238,32,32,10
239,32,32,-2
240,32,32,4
241,32,32,22
242,32,32,-5
243,32,32,-2
244,32,32,7
245,32,32,13
246,32,32,10
247,32,32,13
248,32,32,1
249,32,32,4
250,32,32,1
251,32,32,19
252,32,32,19
253,32,32,7
254,32,32,13
255,32,32,1
256,32,32,10
257,32,32,-8
258,32,32,1
259,32,32,7
260,32,32,10
261,32,32,10
262,32,32,4
263,32,32,10
264,32,32,4
265,32,32,7
266,32,32,1
267,32,32,4
268,32,32,7
269,32,32,4
270,32,32,13
271,32,32,7
272,32,32,19
273,32,32,13
274,32,32,1
275,32,32,-2
276,32,32,4
277,32,32,-2
278,32,32,13
279,32,32,10
280,32,32,13
281,32,32,7
282,32,32,7
283,32,32,1
284,32,32,4
285,32,32,10
286,32,32,13
287,32,32,4
288,32,32,4
289,32,32,1
290,32,32,13
291,32,32,1
292,32,32,7
293,32,32,13
294,32,32,7
295,32,32,1
296,32,32,1
297,32,32,7
298,32,32,4
299,32,32,13
300,32,32,13
301,32,32,10
302,32,32,1
303,32,32,4
304,32,32,7
305,32,32,7
306,32,32,10
307,32,32,13
308,32,32,-2
309,32,32,4
310,32,32,4
311,32,32,7
312,32,32,4
313,32,32,13
314,32,32,4
315,32,32,16
316,32,32,13
317,32,32,-2
318,32,32,7
319,32,32,7
320,32,32,13
321,32,32,4
322,32,32,4
323,32,32,4
324,32,32,7
325,32,32,4
326,32,32,4
327,32,32,7
328,32,32,13
329,32,32,10
330,32,32,4
331,32,32,1
332,32,32,4
333,32,32,-5
334,32,32,19
335,32,32,7
336,32,32,7
337,32,32,7
338,32,32,1
339,32,32,19
340,32,32,10
341,32,32,10
342,32,32,4
343,32,32,4
344,32,32,10
345,32,32,7
346,32,32,7
347,32,32,7
348,32,32,7
349,32,32,13
350,32,32,10
351,32,32,16
352,32,32,7
353,32,32,7
354,32,32,13
355,32,32,7
356,32,32,4
357,32,32,19
358,32,32,7
359,32,32,10
360,32,32,4
361,32,32,4
362,32,32,13
363,32,32,1
364,32,32,7
365,32,32,7
366,32,32,1
367,32,32,-2
368,32,32,7
369,32,32,1
370,32,32,7
371,32,32,4
372,32,32,7
373,32,32,4
374,32,32,4
375,32,32,10
376,32,32,7
377,32,32,7
378,32,32,16
379,32,32,10
380,32,32,1
381,32,32,1
382,32,32,19
383,32,32,10
384,32,32,1
385,32,32,13
386,32,32,1
387,32,32,1
388,32,32,10
389,32,32,7
390,32,32,4
391,32,32,4
392,32,32,4
393,32,32,7
394,32,32,10
395,32,32,10
396,32,32,1
397,32,32,-2
398,32,32,7
399,32,32,4
400,32,32,10
401,32,32,13
402,32,32,10
403,32,32,10
404,32,32,13
405,32,32,7
406,32,32,1
407,32,32,13
408,32,32,7
409,32,32,7
410,32,32,7
411,32,32,10
412,32,32,10
413,32,32,1
414,32,32,10
415,32,32,7
416,32,32,13
417,32,32,7
418,32,32,7
419,32,32,7
420,32,32,4
421,32,32,10
422,32,32,4
423,32,32,7
424,32,32,4
425,32,32,10
426,32,32,7
427,32,32,4
428,32,32,4
429,32,32,7
430,32,32,19
431,32,32,13
432,32,32,-2
433,32,32,1
434,32,32,13
435,32,32,1
436,32,32,7
437,32,32,4
438,32,32,4
439,32,32,10
440,32,32,13
441,32,32,13
442,32,32,7
443,32,32,7
444,32,32,10
445,32,32,10
446,32,32,-8
447,32,32,7
448,32,32,4
449,32,32,4
450,32,32,7
451,32,32,4
452,32,32,4
453,32,32,1
454,32,32,7
455,32,32,10
456,32,32,7
457,32,32,1
458,32,32,7
459,32,32,1
460,32,32,10
461,32,32,1
462,32,32,7
463,32,32,1
464,32,32,7
465,32,32,10
466,32,32,4
467,32,32,7
468,32,32,4
469,32,32,10
470,32,32,10
471,32,32,1
472,32,32,4
473,32,32,-2
474,32,32,4
475,32,32,-2
476,32,32,13
477,32,32,10
478,32,32,16
479,32,32,10
