pair_id,sequence_length_a,sequence_length_b,alignment_score
0,32,32,7
1,32,32,10
2,32,32,19
3,32,32,7
4,32,32,10
5,32,32,7
6,32,32,-5
7,32,32,7
8,32,32,7
9,32,32,10
10,32,32,4
11,32,32,10
12,32,32,10
13,32,32,7
14,32,32,7
15,32,32,10
16,32,32,10
17,32,32,4
18,32,32,10
19,32,32,10
20,32,32,7
21,32,32,4
22,32,32,22
23,32,32,7
24,32,32,-2
25,32,32,10
26,32,32,13
27,32,32,4
28,32,32,4
29,32,32,-2
30,32,32,7
31,32,32,10
32,32,32,1
33,32,32,-2
34,32,32,7
35,32,32,7
36,32,32,10
37,32,32,-2
38,32,32,-5
39,32,32,10
40,32,32,4
41,32,32,10
42,32,32,13
43,32,32,7
44,32,32,7
45,32,32,10
46,32,32,10
47,32,32,4
48,32,32,-2
49,32,32,16
50,32,32,10
51,32,32,4
52,32,32,1
53,32,32,1
54,32,32,10
55,32,32,-5
56,32,32,7
57,32,32,10
58,32,32,-8
59,32,32,7
60,32,32,7
61,32,32,16
62,32,32,1
63,32,32,1
64,32,32,1
65,32,32,1
66,32,32,4
67,32,32,13
68,32,32,13
69,32,32,7
70,32,32,4
71,32,32,7
72,32,32,4
73,32,32,7
74,32,32,13
75,32,32,16
76,32,32,1
77,32,32,7
78,32,32,4
79,32,32,1
80,32,32,7
81,32,32,10
82,32,32,7
83,32,32,-2
84,32,32,16
85,32,32,25
86,32,32,16
87,32,32,4
88,32,32,4
89,32,32,1
90,32,32,10
91,32,32,16
92,32,32,1
93,32,32,7
94,32,32,10
95,32,32,13
96,32,32,10
97,32,32,13
98,32,32,7
99,32,32,4
