pair_id,sequence_length_a,sequence_length_b,alignment_score
0,16,16,-7
1,16,16,2
2,16,16,2
3,16,16,-4
4,16,16,-4
5,16,16,-4
6,16,16,-4
7,16,16,-1
8,16,16,8
9,16,16,2
10,16,16,-1
11,16,16,2
12,16,16,-1
13,16,16,8
14,16,16,-7
15,16,16,5
16,16,16,-1
17,16,16,-1
18,16,16,-7
19,16,16,8
20,16,16,-1
21,16,16,5
22,16,16,5
23,16,16,2
24,16,16,-1
25,16,16,2
26,16,16,2
27,16,16,-1
28,16,16,-1
29,16,16,2
30,16,16,2
31,16,16,-1
32,16,16,2
33,16,16,-4
34,16,16,2
35,16,16,8
36,16,16,-1
37,16,16,2
38,16,16,2
39,16,16,5
40,16,16,5
41,16,16,-1
42,16,16,2
43,16,16,11
44,16,16,2
45,16,16,2
46,16,16,-1
47,16,16,5
48,16,16,5
49,16,16,2
50,16,16,-1
51,16,16,8
52,16,16,5
53,16,16,2
54,16,16,2
55,16,16,2
56,16,16,8
57,16,16,11
58,16,16,-1
59,16,16,5
60,16,16,5
61,16,16,-7
62,16,16,2
63,16,16,2
64,16,16,2
65,16,16,2
66,16,16,-7
67,16,16,2
68,16,16,2
69,16,16,-1
70,16,16,8
71,16,16,5
72,16,16,8
73,16,16,-4
74,16,16,2
75,16,16,2
76,16,16,5
77,16,16,-4
78,16,16,5
79,16,16,5
80,16,16,-4
81,16,16,5
82,16,16,2
83,16,16,11
84,16,16,-1
85,16,16,2
86,16,16,5
87,16,16,2
88,16,16,2
89,16,16,2
90,16,16,5
91,16,16,2
92,16,16,8
93,16,16,-7
94,16,16,2
95,16,16,2
96,16,16,-4
97,16,16,-1
98,16,16,5
99,16,16,2
